SCC, 0.080, 2048, 4129, 1.00, 2048, 4129, 621, 1242
Toroslu, 0.578, 2048, 4129, 1.00, 2048, 4129, 621, 1242
Dijkstra, 4.372, 2048, 4129, 1.00, 2048, 4129, 621, 1242
Tree, 0.106, 2048, 4133, 1.00, 2048, 4133, 966, 1932
SCC, 0.080, 2048, 4133, 1.00, 2048, 4133, 966, 1932
Toroslu, 0.567, 2048, 4133, 1.00, 2048, 4133, 966, 1932
Dijkstra, 3.952, 2048, 4133, 1.00, 2048, 4133, 966, 1932
Tree, 0.183, 2048, 32171, 1.50, 2048, 32171, 262, 4502
SCC, 0.106, 2048, 32171, 1.50, 2048, 32171, 262, 4502
Toroslu, 0.402, 2048, 32171, 1.50, 2048, 32171, 262, 4502
Dijkstra, 4.477, 2048, 32171, 1.50, 2048, 32171, 262, 4502
Tree, 0.184, 2048, 34649, 1.50, 2048, 34649, 428, 9282
SCC, 0.128, 2048, 34649, 1.50, 2048, 34649, 428, 9282
Toroslu, 0.653, 2048, 34649, 1.50, 2048, 34649, 428, 9282
Dijkstra, 3.835, 2048, 34649, 1.50, 2048, 34649, 428, 9282
Tree, 0.268, 2048, 37026, 1.50, 2048, 37026, 511, 12062
SCC, 0.171, 2048, 37026, 1.50, 2048, 37026, 511, 12062
Toroslu, 1.043, 2048, 37026, 1.50, 2048, 37026, 511, 12062
Dijkstra, 5.286, 2048, 37026, 1.50, 2048, 37026, 511, 12062
Tree, 0.323, 2048, 391764, 1.90, 2048, 391764, 500, 134789
SCC, 0.247, 2048, 391764, 1.90, 2048, 391764, 500, 134789
Toroslu, 1.293, 2048, 391764, 1.90, 2048, 391764, 500, 134789
Dijkstra, 8.283, 2048, 391764, 1.90, 2048, 391764, 500, 134789
Tree, 0.261, 2048, 330769, 1.90, 2048, 330769, 532, 151620
SCC, 0.198, 2048, 330769, 1.90, 2048, 330769, 532, 151620
Toroslu, 1.037, 2048, 330769, 1.90, 2048, 330769, 532, 151620
Dijkstra, 5.477, 2048, 330769, 1.90, 2048, 330769, 532, 151620
Tree, 0.293, 2048, 337716, 1.90, 2048, 337716, 409, 92088
SCC, 0.209, 2048, 337716, 1.90, 2048, 337716, 409, 92088
Toroslu, 0.970, 2048, 337716, 1.90, 2048, 337716, 409, 92088
Dijkstra, 7.516, 2048, 337716, 1.90, 2048, 337716, 409, 92088
Tree, 0.378, 4096, 4171, 0.10, 4096, 4171, 993, 994
SCC, 0.251, 4096, 4171, 0.10, 4096, 4171, 993, 994
Toroslu, 0.275, 4096, 4171, 0.10, 4096, 4171, 993, 994
Dijkstra, 4.904, 4096, 4171, 0.10, 4096, 4171, 993, 994
Tree, 0.361, 4096, 4159, 0.10, 4096, 4159, 1080, 1082
SCC, 0.240, 4096, 4159, 0.10, 4096, 4159, 1080, 1082
Toroslu, 0.244, 4096, 4159, 0.10, 4096, 4159, 1080, 1082
Dijkstra, 4.596, 4096, 4159, 0.10, 4096, 4159, 1080, 1082
Tree, 0.350, 4096, 4149, 0.10, 4096, 4149, 802, 803
SCC, 0.205, 4096, 4149, 0.10, 4096, 4149, 802, 803
Toroslu, 0.239, 4096, 4149, 0.10, 4096, 4149, 802, 803
Dijkstra, 3.624, 4096, 4149, 0.10, 4096, 4149, 802, 803
Tree, 0.361, 4096, 4357, 0.50, 4096, 4357, 888, 917
SCC, 0.276, 4096, 4357, 0.50, 4096, 4357, 888, 917
Toroslu, 0.371, 4096, 4357, 0.50, 4096, 4357, 888, 917
Dijkstra, 9.539, 4096, 4357, 0.50, 4096, 4357, 888, 917
Tree, 0.355, 4096, 4355, 0.50, 4096, 4355, 509, 531
SCC, 0.187, 4096, 4355, 0.50, 4096, 4355, 509, 531
Toroslu, 0.295, 4096, 4355, 0.50, 4096, 4355, 509, 531
Dijkstra, 8.786, 4096, 4355, 0.50, 4096, 4355, 509, 531
Tree, 0.371, 4096, 4339, 0.50, 4096, 4339, 1208, 1242
SCC, 0.211, 4096, 4339, 0.50, 4096, 4339, 1208, 1242
Toroslu, 0.364, 4096, 4339, 0.50, 4096, 4339, 1208, 1242
Dijkstra, 8.753, 4096, 4339, 0.50, 4096, 4339, 1208, 1242
Tree, 0.537, 4096, 8249, 1.00, 4096, 8249, 920, 1840
SCC, 0.265, 4096, 8249, 1.00, 4096, 8249, 920, 1840
Toroslu, 1.457, 4096, 8249, 1.00, 4096, 8249, 920, 1840
Dijkstra, 15.805, 4096, 8249, 1.00, 4096, 8249, 920, 1840
Tree, 0.688, 4096, 8239, 1.00, 4096, 8239, 1845, 3690
SCC, 0.395, 4096, 8239, 1.00, 4096, 8239, 1845, 3690
Toroslu, 5.130, 4096, 8239, 1.00, 4096, 8239, 1845, 3690
Dijkstra, 18.923, 4096, 8239, 1.00, 4096, 8239, 1845, 3690
Tree, 0.063, 2048, 2114, 0.10, 0 2048, 2114, 11, 430, 431
SCC, 0.046, 2048, 2114, 0.10, 0 2048, 2114, 11, 430, 431
Toroslu, 0.068, 2048, 2114, 0.10, 0 2048, 2114, 11, 430, 431
Dijkstra, 1.002, 2048, 2114, 0.10, 0 2048, 2114, 11, 430, 431
Tree, 0.066, 2048, 2101, 0.10, 0 2048, 2101, 11, 615, 616
SCC, 0.057, 2048, 2101, 0.10, 0 2048, 2101, 11, 615, 616
Toroslu, 0.073, 2048, 2101, 0.10, 0 2048, 2101, 11, 615, 616
Dijkstra, 1.319, 2048, 2101, 0.10, 0 2048, 2101, 11, 615, 616
Tree, 0.058, 2048, 2105, 0.10, 0 2048, 2105, 11, 434, 435
SCC, 0.053, 2048, 2105, 0.10, 0 2048, 2105, 11, 434, 435
Toroslu, 0.067, 2048, 2105, 0.10, 0 2048, 2105, 11, 434, 435
Dijkstra, 1.145, 2048, 2105, 0.10, 0 2048, 2105, 11, 434, 435
Tree, 0.060, 2048, 2214, 0.50, 0 2048, 2214, 11, 537, 560
SCC, 0.047, 2048, 2214, 0.50, 0 2048, 2214, 11, 537, 560
Toroslu, 0.076, 2048, 2214, 0.50, 0 2048, 2214, 11, 537, 560
Dijkstra, 1.567, 2048, 2214, 0.50, 0 2048, 2214, 11, 537, 560
Tree, 0.061, 2048, 2209, 0.50, 0 2048, 2209, 11, 936, 966
